page_name,property,target_resource,direction,expected_ranges,actual_types
Abraham_Lincoln,child,Edward_Baker_Lincoln,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Abraham_Lincoln,child,Tad_Lincoln,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Abraham_Lincoln,child,William_Wallace_Lincoln,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Abraham_Lincoln,party,Republican_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Abraham_Lincoln,party,Whig_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Abraham_Lincoln,restingPlace,Lincoln_Tomb,outgoing,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure
Abraham_Lincoln,basedOn,Abraham_Lincoln,incoming,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Abraham_Lincoln,notableWork,Abraham_Lincoln,incoming,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Abraham_Lincoln,occupation,Abraham_Lincoln,incoming,http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Abraham_Lincoln,owner,Abraham_Lincoln,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Abraham_Lincoln,owningCompany,Abraham_Lincoln,incoming,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,award,Congressional_Gold_Medal,outgoing,http://dbpedia.org/ontology/Award,
Andrew_Jackson,award,Thanks_of_Congress,outgoing,http://dbpedia.org/ontology/Award,
Andrew_Jackson,birthPlace,Waxhaws,outgoing,http://dbpedia.org/ontology/Place,
Andrew_Jackson,party,Democratic-Republican_Party,outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Andrew_Jackson,party,Democratic_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Andrew_Jackson,party,Jacksonian_democracy,outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Andrew_Jackson,restingPlace,"The_Hermitage_(Nashville,_Tennessee)",outgoing,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure; http://dbpedia.org/ontology/Building; http://dbpedia.org/ontology/Museum
Andrew_Jackson,spouse,1828_United_States_presidential_election,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Event; http://dbpedia.org/ontology/SocietalEvent
Andrew_Jackson,spouse,Rachel_Jackson,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,notableWork,Andrew_Jackson,incoming,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Jackson,party,Andrew_Jackson,incoming,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Johnson,child,Martha_Johnson_Patterson,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Andrew_Johnson,party,Democratic_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Andrew_Johnson,party,Independent_politician,outgoing,http://dbpedia.org/ontology/PoliticalParty,
Andrew_Johnson,party,Working_Men's_Party_(New_York),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Barack_Obama,award,List_of_awards_and_honors_received_by_Barack_Obama,outgoing,http://dbpedia.org/ontology/Award,
Barack_Obama,parent,Barack_Obama_Sr.,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Barack_Obama,party,Democratic_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Barack_Obama,relation,Family_of_Barack_Obama,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Family
Barack_Obama,affiliation,Barack_Obama,incoming,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Barack_Obama,artist,Barack_Obama,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Barack_Obama,foundedBy,Barack_Obama,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Barack_Obama,foundedBy,Barack_Obama,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Barack_Obama,starring,Barack_Obama,incoming,http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Barack_Obama,starring,Barack_Obama,incoming,http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Barack_Obama,starring,Barack_Obama,incoming,http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Benjamin_Harrison,child,Elizabeth_Harrison_Walker,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Benjamin_Harrison,party,Republican_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Benjamin_Harrison,party,Whig_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Benjamin_Harrison,relation,Harrison_family_of_Virginia,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Family
Benjamin_Harrison,spouse,1892_United_States_presidential_election,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Event; http://dbpedia.org/ontology/SocietalEvent
Benjamin_Harrison,spouse,Mary_Dimmick_Harrison,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Benjamin_Harrison,award,Benjamin_Harrison,incoming,http://dbpedia.org/ontology/Award,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,award,List_of_awards_and_honors_received_by_Bill_Clinton,outgoing,http://dbpedia.org/ontology/Award,
Bill_Clinton,child,Chelsea_Clinton,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,parent,Virginia_Clinton_Kelley,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,parent,William_Jefferson_Blythe_Jr.,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,party,Democratic_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Bill_Clinton,relation,Clinton_family,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Family
Bill_Clinton,award,Bill_Clinton,incoming,http://dbpedia.org/ontology/Award,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,foundedBy,Bill_Clinton,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,foundedBy,Bill_Clinton,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,foundedBy,Bill_Clinton,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,foundedBy,Bill_Clinton,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,owner,Bill_Clinton,incoming,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,starring,Bill_Clinton,incoming,http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,starring,Bill_Clinton,incoming,http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,starring,Bill_Clinton,incoming,http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Bill_Clinton,starring,Bill_Clinton,incoming,http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Calvin_Coolidge,birthPlace,"Plymouth_Notch,_Vermont",outgoing,http://dbpedia.org/ontology/Place,
Calvin_Coolidge,child,John_Coolidge,outgoing,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
Calvin_Coolidge,party,Republican_Party_(United_States),outgoing,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent; http://dbpedia.org/ontology/Organisation
Calvin_Coolidge,occupation,Calvin_Coolidge,incoming,http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/ontology/Person; http://dbpedia.org/ontology/Animal; http://dbpedia.org/ontology/Eukaryote; http://dbpedia.org/ontology/Species
